FCLTY_KND,TRGET_FCLTY_NM,RDNMADR,LNMADR,LATITUDE,LONGITUDE,CCTV_YN,CCTV_NUMBER,REFERENCEDATE
어린이집,재능나라어린이집,대전 동구 옛신탄진로75번길 61,,36.3469012472,127.4188988420,Y,1,2022-12-10
어린이집,예솔어린이집,,대전 서구 탄방동 657,36.3446769662,127.3819367460,Y,1,2022-12-10
어린이집,"푸른별어린이집,해누리유치원",,대전 동구 홍도동 840,36.3488611823,127.4290924050,Y,2,2022-12-10
유치원,송산유치원,대전 동구 동산초교로 15-15,,36.3456791002,127.4275804980,Y,2,2022-12-10
초등학교,"성남초교,담쟁이어린이집,성남어린이집",대전 동구 성남로32번길 28-17,,36.3430247172,127.4306401720,Y,2,2022-12-10
초등학교,성남초교,대전 동구 성남로32번길 5,,36.3423520443,127.4284180300,Y,1,2022-12-10
초등학교,대전삼천초교,대전 서구 둔산북로 232-33,,36.3557793285,127.4001948800,Y,4,2022-12-10
초등학교,세천초교,대전 동구 옥천로 610-12,,36.3413295288,127.4922671190,Y,2,2022-12-10
어린이집,베베엔젤어린이집,대전 유성구 진잠로42번길 88 진잠타운아파트 203동 1,,36.2960479766,127.3197899120,Y,3,2022-12-10
초등학교,산흥초교,대전광역시 동구 산내로 509,,36.2279256323,127.4492739500,Y,2,2022-12-10
초등학교,기성초교길헌분교장,대전광역시 서구 당고개길 48,,36.2408313340,127.3161034560,Y,1,2022-12-10
초등학교,대전대동초교,대전광역시 동구 대동초등3길 21,,36.3243840773,127.4459200480,Y,6,2022-12-10
초등학교,동광초교,대전광역시 동구 백룡로11번길 20,,36.3354827180,127.4493517870,Y,5,2022-12-10
어린이집,예뻐뽀어린이집,,대전 서구 복수동 904,36.2964146591,127.3795141820,Y,2,2022-12-10
초등학교,대전선암초교,,대전 서구 관저동 1152,36.2962938213,127.3350069750,Y,2,2022-12-10
초등학교,대전관저초교,대전광역시 서구 관저동로 161,,36.3046354539,127.3401767520,Y,3,2022-12-10
유치원,천사유치원,,대전 동구 판암동 477-8,36.3160645193,127.4564026840,Y,2,2022-12-10
초등학교,대전정림초교,대전광역시 서구 정림로 32,,36.3022375778,127.3662655700,Y,15,2022-12-10
초등학교,대전오류초교,,대전 중구 오류동 175-2,36.3233209230,127.4049892230,Y,2,2022-12-10
초등학교,대전석교초교,,대전 중구 석교동 70-13,36.3078554311,127.4455457310,Y,3,2022-12-10
어린이집,영리더어린이집,대전광역시 유성구 원내로39번길 48,,36.3013297475,127.3198836660,Y,3,2022-12-10
초등학교,대전느리울초교,대전광역시 서구 관저로 196,,36.2975935425,127.3441921530,Y,4,2022-12-10
초등학교,진잠초교,대전광역시 유성구 진잠로59번길 53,,36.2984778794,127.3161519510,Y,4,2022-12-10
유치원,피피쿠스유치원,대전광역시 서구 도솔로 173,,36.3266325359,127.3738971530,Y,2,2022-12-10
초등학교,대전유천초교,대전광역시 서구 제비네6길 69,,36.3155916451,127.3744410630,Y,2,2022-12-10
초등학교,대전보운초교,대전광역시 중구 대종로315번길 42,,36.3134382336,127.4317340640,Y,6,2022-12-10
기타,가톨릭문화회관아트홀,대전광역시 중구 대종로 471,,36.3264453611,127.4272009090,Y,3,2022-12-10
어린이집,아이솔어린이집,대전광역시 서구 도산로213번길 32,,36.3280605649,127.3777315830,Y,2,2022-12-10
유치원,봉곡유치원,대전광역시 동구 동부로33번길 25,,36.3201926250,127.4556459580,Y,1,2022-12-10
초등학교,서대전초교,대전광역시 중구 선화로 17,,36.3253383355,127.4112468150,Y,5,2022-12-10
초등학교,대전목동초교,대전광역시 중구 목중로19번길 70,,36.3343024474,127.4101991410,Y,9,2022-12-10
초등학교,대전유평초교,대전광역시 중구 수침로 123,,36.3272724403,127.3983148700,Y,7,2022-12-10
초등학교,대전신계초교,,대전 서구 복수동 452,36.2977682577,127.3792241810,Y,4,2022-12-10
어린이집,삼성어린이집,대전광역시 서구 용화5길 63,,36.3217539289,127.3758910010,Y,2,2022-12-10
초등학교,대전내동초교,대전광역시 서구 동서대로1063번길 13,,36.3301959345,127.3785189600,Y,5,2022-12-10
어린이집,다예린어린이집,대전 서구 도솔로 257-2,,36.3342809505,127.3800079900,Y,1,2022-12-10
유치원,명화유치원,대전광역시 서구 조달청길 180,,36.3192378816,127.3811193870,Y,1,2022-12-10
기타,신세대유아학교,대전광역시 유성구 교촌로6번길 45-14,,36.3014949821,127.3145822710,Y,2,2022-12-10
유치원,예일유치원,대전광역시 유성구 진잠로139번길 31,,36.3045423712,127.3170378060,Y,1,2022-12-10
초등학교,대전금동초교,,대전 서구 관저동 1141,36.2974713101,127.3259311720,Y,6,2022-12-10
초등학교,남선초교,대전광역시 유성구 계백로93번길 277-29,,36.2865018223,127.2663126560,Y,1,2022-12-10
초등학교,대전삼육초교,대전광역시 서구 도림1길 15,,36.3111857823,127.3730976570,Y,3,2022-12-10
초등학교,대전도마초교,대전광역시 서구 배재로172번길 23,,36.3246525920,127.3703351320,N,0,2022-12-10
초등학교,대전수미초교,,대전 서구 괴곡동 361-2,36.2961147796,127.3614250060,Y,5,2022-12-10
유치원,천사유치원,,대전 동구 판암동 477-8,36.3160003071,127.4554690810,Y,2,2022-12-10
초등학교,대전수미초교,,대전 서구 괴곡동 361-2,36.2974447391,127.3636671030,Y,5,2022-12-10
어린이집,(비젤어린이집)한마음어린이집,대전광역시 서구 가수원로65번길 44,,36.2986812858,127.3519681340,Y,3,2022-12-10
초등학교,대전도마초교,대전광역시 서구 배재로172번길 23,,36.3236950603,127.3729399750,N,0,2022-12-10
유치원,느리울유치원,대전 서구 구봉로147번길 64,,36.2989890533,127.3387692510,Y,2,2022-12-10
초등학교,서부초교,대전광역시 서구 배재로 263,,36.3322737700,127.3709038660,Y,1,2022-12-10
초등학교,대전대정초교,대전광역시 유성구 대정로28번길 55,,36.3145223436,127.3220522270,Y,3,2022-12-10
초등학교,대전도마초교,대전광역시 서구 배재로172번길 23,,36.3250358302,127.3729376210,Y,3,2022-12-10
어린이집,숲어린이집,대전광역시 서구 계백로776번길 115,,36.2859240926,127.3216337550,Y,1,2022-12-10
어린이집,은아영재어린이집,대전광역시 서구 정림로77번길 51,,36.3060397049,127.3638478600,Y,2,2022-12-10
초등학교,대전원양초교,대전광역시 서구 관저북로 97,,36.3094209639,127.3370571080,Y,2,2022-12-10
초등학교,가수원초교,대전광역시 서구 벌곡로 1359,,36.3020797366,127.3539370820,Y,5,2022-12-10
어린이집,엘리트어린이집 상세보기,대전 서구 복수북로 42,,36.3063278997,127.3733868810,Y,2,2022-12-10
유치원,성균관숲유치원,대전 서구 정림서로1번길 79,,36.2896894611,127.3632517650,Y,2,2022-12-10
유치원,BK꿈사랑유치원,대전 유성구 유성대로155번길 46-2,,36.3109610988,127.3152085070,Y,1,2022-12-10
유치원,바다의별유치원,대전광역시 중구 보문산로 31,,36.3054756608,127.3849321910,Y,2,2022-12-10
어린이집,"통큰어린이집,해밀어린이집",대전 중구 산성로 11-1,,36.3061267865,127.3910974000,Y,5,2022-12-10
초등학교,"대전보성초교,대전대문초교",대전광역시 중구 보문산로141번길 34,,36.3067201164,127.3990726460,Y,10,2022-12-10
어린이집,꼬망세키즈어린이집,대전 동구 대전로 450,,36.3058850520,127.4522584900,Y,1,2022-12-10
어린이집,사랑어린이집,,대전광역시 동구 판암동 536-4,36.3243315375,127.4507758770,Y,1,2022-12-10
어린이집,토토어린이집,,대전광역시 동구 대별동 373-6,36.2853759442,127.4584240980,Y,1,2022-12-10
유치원,즐거운유치원,대전광역시 중구 학고개로34번길 31,,36.2968573431,127.4525826400,Y,2,2022-12-10
유치원,아이들세상유치원,대전광역시 동구 산내로 1396-34,,36.2874846074,127.4655323190,Y,1,2022-12-10
초등학교,산성초교,대전광역시 중구 대둔산로 332,,36.2958482052,127.3833352170,Y,9,2022-12-10
유치원,바다의별유치원,대전광역시 중구 보문산로 31,,36.3055659029,127.3869851920,Y,2,2022-12-10
유치원,하나빛캐슬유치원,대전광역시 중구 대둔산로323번길 51,,36.2965561827,127.3834403220,Y,1,2022-12-10
초등학교,자양초교,대전광역시 동구 계족로 184-55,,36.3321168319,127.4446266940,Y,3,2022-12-10
어린이집,색동어린이집,대전광역시 중구 유등천동로198번길 13,,36.3021524451,127.3836358880,Y,2,2022-12-10
초등학교,산성초교,대전광역시 중구 대둔산로 332,,36.2976305656,127.3847283180,Y,9,2022-12-10
어린이집,숲속예능어린이집,대전광역시 동구 학고개로 66-10,,36.2931727318,127.4523276250,Y,1,2022-12-10
기타,대전은어송중교,,대전 동구 대성동 134,36.2987687902,127.4607329040,N,0,2022-12-10
유치원,상아유치원,대전광역시 동구 대전로304번길 37,,36.2963455562,127.4624994990,N,0,2022-12-10
초등학교,산서초교,대전광역시 중구 남달미로 87,,36.2670036267,127.4078242370,Y,1,2022-12-10
어린이집,"통큰어린이집,해밀어린이집",대전 중구 산성로 11-1,,36.3057922758,127.3914873980,Y,5,2022-12-10
초등학교,대전옥계초교,대전광역시 중구 모암로 35,,36.3002814980,127.4473444000,Y,5,2022-12-10
초등학교,대전은어송초교,,대전 동구 대성동 129,36.3025197156,127.4557077700,Y,3,2022-12-10
어린이집,태평양어린이집,대전광역시 중구 동서대로1186번길 7,,36.3261601198,127.3915717660,Y,1,2022-12-10
초등학교,산내초교,대전광역시 동구 산내로 1292,,36.2796054308,127.4684782460,Y,3,2022-12-10
어린이집,캔키즈어린이집,대전광역시 중구 목중로20번길 12,,36.3366455299,127.4126040160,Y,2,2022-12-10
어린이집,하늘어린이집,,대전 서구 가장동 39-15,36.3301293534,127.3843572830,Y,2,2022-12-10
유치원,동심유치원,대전광역시 동구 새울로109번길 26-24,,36.3291454099,127.4609887470,Y,3,2022-12-10
초등학교,대룡초교,대전 동구 백룡로 123,,36.3309457616,127.4554613610,Y,3,2022-12-10
어린이집,숲향기어린이집,대전광역시 동구 용운로 124-14,,36.3277548006,127.4541562470,Y,2,2022-12-10
기타,용수골어린이공원,,대전광역시 동구 용운동 758,36.3357478275,127.4566083910,Y,1,2022-12-10
유치원,꿈나무유치원,대전 동구 옻밭2길 77,,36.3202437223,127.4504404630,Y,1,2022-12-10
초등학교,대전가장초교,대전광역시 서구 가장로 150,,36.3303388330,127.3873133670,Y,6,2022-12-10
초등학교,삼성초교,대전광역시 동구 대전로867번길 12,,36.3364558157,127.4297075200,Y,4,2022-12-10
어린이집,우FL어린이집,대전 서구 괴정로 94-8,,36.3386790683,127.3841452890,Y,1,2022-12-10
어린이집,해누리어린이집,대전 서구 도산로321번길 18,,36.3350522311,127.3863116520,Y,2,2022-12-10
어린이집,새싹어린이집,대전 서구 용문로 113,,36.3348753137,127.3930715430,Y,2,2022-12-10
어린이집,자연어린이집,대전광역시 중구 수침로 72-36,,36.3257782534,127.4014781050,Y,1,2022-12-10
어린이집,햇살어린이집,대전광역시 동구 새울로 147-17,,36.3313980344,127.4639750880,Y,1,2022-12-10
유치원,삼문사금강유치원,대전광역시 중구 보문로115번길 29,,36.3119691287,127.4282684490,N,0,2022-12-10
특수학교,대전화교소학,대전광역시 중구 보문로115번길 16,,36.3130245966,127.4274325520,N,0,2022-12-10
어린이집,리틀킹어린이집,대전광역시 중구 봉소루로36번길 27,,36.3074059428,127.4403831840,Y,2,2022-12-10
어린이집,지니키즈어린이집,대전광역시 중구 계백로1618번길 65,,36.3147928240,127.4012774040,Y,2,2022-12-10
유치원,꿈나무유치원,대전 동구 옻밭2길 77,,36.3211623858,127.4504397170,Y,1,2022-12-10
어린이집,유천딩동댕어린이집,,대전광역시 중구 유천동 462,36.3198240893,127.3977897160,Y,2,2022-12-10
유치원,하람유치원,대전광역시 동구 삼정로 46,,36.3174081568,127.4680855930,Y,1,2022-12-10
초등학교,대전버드내초교,,대전 중구 태평동 422-32,36.3180827025,127.3918695210,Y,3,2022-12-10
초등학교,대전태평초교,대전광역시 중구 유천로 117,,36.3224711117,127.3973909600,Y,2,2022-12-10
초등학교,대전원평초교,대전광역시 중구 계백로1615번길 46,,36.3194385468,127.3993387040,Y,2,2022-12-10
어린이집,"슬기둥어린이집,소망어린이집",대전 중구 계백로1571번길 38-18,,36.3200266279,127.3958951540,Y,4,2022-12-10
어린이집,비타민어린이집,대전광역시 중구 계백로1584번길 101,,36.3134992344,127.3980384490,Y,1,2022-12-10
초등학교,대전동문초교,대전광역시 중구 문화로 200,,36.3151956064,127.4069366700,Y,2,2022-12-10
초등학교,대전문성초교,대전광역시 중구 유등천동로292번길 89-14,,36.3078039999,127.3904351870,Y,5,2022-12-10
